Metropolitan_Statistical_Area,Detected_cumulative_newCases,Inferred_cumulative_newCases,Vaccinations_completed,Vaccinations_countdown,Progress_to_Herd_Immunity (% of population)
"New York City-Newark-Jersey City, NY-NJ-PA MSA",2313145,35966706,10046995,8864791,51.6265411898771
"Los Angeles-Long Beach-Anaheim, CA MSA",1521966,11320767,6690838,2715601,73.0773495967806
"Chicago-Naperville-Elgin, IL-IN-WI MSA",1027170,31560807,4573354,3170747,59.6297975824038
"Dallas-Fort Worth-Arlington, TX MSA",839910,1764061,3059871,3242058,48.3306567328168
"Houston-The Woodlands-Sugar Land, TX MSA",627660,1876372,2924925,2294458,56.7460057545916
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",415409,14584087,3188164,1416727,69.9038855870092
"Miami-Fort Lauderdale-West Palm Beach, FL MSA",744245,2533417,3083140,1704979,65.8422114497362
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",587082,13774937,2802923,1954072,59.5911282209475
"Atlanta-Sandy Springs-Alpharetta, GA MSA",613282,1168118,2290349,2477550,48.0249573666896
"Phoenix-Mesa-Chandler, AZ MSA",611841,11711952,1910062,2135975,47.3526830794994
"Boston-Cambridge-Newton, MA-NH MSA",465057,11697951,2844769,374026,89.52092332458
"San Francisco-Oakland-Berkeley, CA MSA",255034,1934984,2976340,44115,98.6489791833424
"Riverside-San Bernardino-Ontario, CA MSA",601224,1137801,1753984,1643954,53.3983238907187
"Detroit–Warren–Dearborn, MI MSA",430026,790033,1923430,2024413,47.3967073448829
"Seattle-Tacoma-Bellevue, WA MSA",208991,482401,2126082,1557492,56.4798634946615
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",378259,29548997,1925408,1202888,61.8069046915855
"San Diego-Chula Vista-Carlsbad, CA MSA",282000,6009417,1809867,501533,79.6122061783112
"Tampa-St. Petersburg-Clearwater, FL MSA",282495,626385,1343145,1133389,54.4836508933862
"Denver-Aurora-Lakewood, CO MSA",287954,14315477,1220917,952395,57.1897388247859
"St. Louis, MO-IL MSA",301508,1100709,1109569,1229051,47.0306231829477
"Baltimore-Columbia-Towson, MD MSA",158425,6524406,1447907,743143,66.1715165609001
"Charlotte-Concord-Gastonia, NC-SC MSA",285245,548073,1013641,1209805,44.9181189036804
"Orlando-Kissimmee-Sanford, FL MSA",255561,676117,1173144,1279358,46.1338634748871
"San Antonio-New Braunfels, TX MSA",272950,963836,1074286,408859,75.1784291801678
"Portland-Vancouver-Hillsboro, OR-WA MSA",119306,219090,1307890,491104,73.0853450565985
"Sacramento-Roseville-Folsom, CA MSA",156201,35797388,1086103,926331,53.075176497753
"Pittsburgh, PA MSA",206693,405907,1113693,775131,59.1656487940755
"Las Vegas-Henderson-Paradise, NV MSA",257221,496150,836484,918840,48.1448666885977
"Austin-Round Rock-Georgetown, TX MSA",168153,338281,1076551,1018003,49.7778760825968
"Cincinnati, OH-KY-IN MSA",224077,448757,984017,1145392,44.1882193144724
"Kansas City, MO-KS MSA",161031,435084,474377,1403293,21.0557124421772
"Columbus, OH MSA",208239,387851,984733,991791,48.4028310630035
"Indianapolis-Carmel-Anderson, IN MSA",223050,7256891,928653,752521,55.6594446476041
"Cleveland-Elyria, OH MSA",185292,5768733,995787,656395,60.6441863129813
"San Jose-Sunnyvale-Santa Clara, CA MSA",126330,248928,1276111,419629,75.5080795690439
"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",262151,471100,724680,869610,45.6447764047214
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",136829,270013,688497,662012,50.8046158918828
"Providence-Warwick, RI-MA MSA",207371,7360310,857687,514054,63.350029031653
"Milwaukee-Waukesha, WI MSA",193180,10335487,661323,774183,44.8579202493717
"Jacksonville, FL MSA",155534,5923277,611567,768654,42.8673295550014
"Oklahoma City, OK MSA",155418,385513,556230,780601,39.3068109036099
"Raleigh-Cary, NC MSA",119477,218958,707935,211876,78.4839670710881
"Memphis, TN-MS-AR MSA",127566,391572,414888,790780,31.6321060730902
"Richmond, VA MSA",94360,1195190,580200,364611,61.9880987350231
"New Orleans-Metairie, LA MSA",122964,968875,532598,649350,43.1687709888643
"Louisville/Jefferson County, KY-IN MSA",133991,3959464,571755,342349,64.1262572853159
"Salt Lake City, UT MSA",160746,383862,495137,361657,60.2764612870473
"Hartford-East Hartford-Middletown, CT MSA",106932,3845683,667428,479653,57.1798661652116
"Buffalo-Niagara Falls, NY MSA",109680,4151185,597288,523715,51.5481371770991
"Birmingham-Hoover, AL MSA",131008,289851,357804,711628,29.8715719694205
"Grand Rapids-Kentwood, MI MSA",123897,9752929,489897,535621,46.1247483997186
"Rochester, NY MSA",91135,5796309,582882,353733,62.077192672558
"Tucson, AZ MSA",117420,547814,422904,434109,49.3778133307835
"Fresno, CA MSA",103020,269464,389921,333200,55.1008388498625
"Tulsa, OK MSA",112511,710689,369894,417385,47.2218526789024
"Urban Honolulu, HI MSA",27715,39623694,492118,446003,50.3434705838064
"Omaha-Council Bluffs, NE-IA MSA",116689,5580538,439719,549869,41.3784790474745
"Worcester, MA-CT MSA",88322,3130952,488294,271634,64.9076864932882
"Bridgeport-Stamford-Norwalk, CT MSA",100408,189489,524738,283789,65.3616322856232
"Greenville-Anderson, SC MSA",125535,1391091,317589,583470,32.0681013100726
"Albuquerque, NM MSA",79545,150889,467030,115066,81.7895558030525
"Bakersfield, CA MSA",110847,233996,294511,522018,33.8542087121276
