Metropolitan_Statistical_Area,Detected_cumulative_newCases,Inferred_cumulative_newCases,Vaccinations_completed,Vaccinations_countdown,Progress_to_Herd_Immunity
"New York City-Newark-Jersey City, NY-NJ-PA MSA",2313145,4130617,10451003,7855287,57.1352102789345
"Los Angeles-Long Beach-Anaheim, CA MSA",1521966,2717797,6868081,1856591,81.5936323359862
"Chicago-Naperville-Elgin, IL-IN-WI MSA",1027170,1834233,4746216,2618566,66.6602098925473
"Dallas-Fort Worth-Arlington, TX MSA",839910,1499840,3149954,2751776,56.1443815198876
"Houston-The Woodlands-Sugar Land, TX MSA",627660,1120822,3024657,1941474,63.4002865933436
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",415409,741802,2905548,1689060,64.1186036474167
"Miami-Fort Lauderdale-West Palm Beach, FL MSA",744245,1329009,3222180,1223123,75.4957821738776
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",587082,1048361,2883434,1667222,65.5229899281012
"Atlanta-Sandy Springs-Alpharetta, GA MSA",613282,1095147,2363015,2100764,55.9293259621304
"Phoenix-Mesa-Chandler, AZ MSA",611841,1092574,1948838,1764609,56.5060783652582
"Boston-Cambridge-Newton, MA-NH MSA",465057,830459,2915044,179385,94.9741751391074
"San Francisco-Oakland-Berkeley, CA MSA",255034,455418,3039269,98167,96.9936379800788
"Riverside-San Bernardino-Ontario, CA MSA",601224,1073615,1807035,1224028,65.3020970144594
"Detroit–Warren–Dearborn, MI MSA",430026,767904,1955059,1845357,52.0493820558508
"Seattle-Tacoma-Bellevue, WA MSA",208991,373199,2193768,1522543,57.4564240488892
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",378259,675463,1974961,1058019,66.4066642072135
"San Diego-Chula Vista-Carlsbad, CA MSA",282000,503572,1856014,405962,83.4972582951861
"Tampa-St. Petersburg-Clearwater, FL MSA",282495,504456,1390444,977582,60.7407839741327
"Denver-Aurora-Lakewood, CO MSA",287954,514204,1262986,782122,64.8435291125208
"St. Louis, MO-IL MSA",301508,538408,1142495,1052184,54.6531992758044
"Baltimore-Columbia-Towson, MD MSA",158425,282902,1501300,702331,68.0293125249562
"Charlotte-Concord-Gastonia, NC-SC MSA",285245,509367,1044845,1037680,52.7548932464084
"Orlando-Kissimmee-Sanford, FL MSA",255561,456359,1221632,1149820,51.5879362154258
"San Antonio-New Braunfels, TX MSA",272950,487411,1116019,220534,86.6115205995688
"Portland-Vancouver-Hillsboro, OR-WA MSA",119306,213047,1357956,471200,74.1761716269247
"Sacramento-Roseville-Folsom, CA MSA",156201,278931,1127889,855737,56.6512319145723
"Pittsburgh, PA MSA",206693,369095,1132164,702589,62.987203479903
"Las Vegas-Henderson-Paradise, NV MSA",257221,459324,871008,742013,58.1241750100197
"Austin-Round Rock-Georgetown, TX MSA",168153,300274,1104058,963602,52.4616930882743
"Cincinnati, OH-KY-IN MSA",224077,400138,1009616,1044692,49.0950514863687
