Metropolitan Statistical Area,Population,Fraction of population that yields herd immunity,Fraction of population with natural immunity,Fraction of population that has been vaccinated,Vaccine Countdown,Progress to Herd Immunity
"New York City-Newark-Jersey City, NY-NJ-PA MSA",19216182,0.981163216611854,0.197724101470462,0.54689120866986,10340841,60.3983072018343
"Los Angeles-Long Beach-Anaheim, CA MSA",13214799,0.90377500362712,0.489285714285714,0.537266968646288,4816753,81.4623812174532
"Chicago-Naperville-Elgin, IL-IN-WI MSA",9458539,0.931048565851879,0.306507597828496,0.517940667158004,4565606,67.6416619531565
"Dallas-Fort Worth-Arlington, TX MSA",7573136,0.930299729172344,0.548214285714286,0.427422404668291,3879487,77.6101793678833
"Houston-The Woodlands-Sugar Land, TX MSA",7066141,0.89866217578575,0.548214285714286,0.443518039054132,2956228,81.0707191211954
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",6280487,0.898178296762921,0.226780762156092,0.557656118068551,2557025,68.4554680406788
"Miami-Fort Lauderdale-West Palm Beach, FL MSA",6166488,0.922541688665468,0.498214285714286,0.54250685317153,2448634,80.5615903093355
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",6102434,0.915621830194407,0.364293323661627,0.495483277656096,2856847,70.7472372499124
"Atlanta-Sandy Springs-Alpharetta, GA MSA",6020364,0.915357942943991,0.2875,0.402725981352623,3470076,59.6212705367612
"Phoenix-Mesa-Chandler, AZ MSA",4948203,0.926797464692725,0.457142857142857,0.413430491837138,2710878,71.1194417620951
"Boston-Cambridge-Newton, MA-NH MSA",4873019,0.891241679282611,0.103638499416012,0.608040518618951,1794519,66.6665634860013
"San Francisco-Oakland-Berkeley, CA MSA",4731803,0.873182725643803,0.489285714285714,0.65535695378696,851016,90.5326953633834
"Riverside-San Bernardino-Ontario, CA MSA",4650631,0.901843934231585,0.489285714285714,0.403334515251801,2298473,74.8106759552846
"Detroit–Warren–Dearborn, MI MSA",4319629,0.955659396922071,0.435714285714286,0.463246264899138,2421393,70.2109153539689
"Seattle-Tacoma-Bellevue, WA MSA",3979845,0.959035432327784,0.121428571428571,0.603193089178096,1815252,62.3941456087209
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",3654908,0.943786773622395,0.248479787804704,0.526287665790767,1833716,64.0445534035741
"San Diego-Chula Vista-Carlsbad, CA MSA",3338330,0.893042889659138,0.489285714285714,0.566064768911402,1042729,83.9235551477405
"Tampa-St. Petersburg-Clearwater, FL MSA",3194831,0.910327597773548,0.498214285714286,0.446893435051807,1487689,76.8991904443818
"Denver-Aurora-Lakewood, CO MSA",2967239,0.898272516607858,0.2,0.438051670256424,1577893,57.376485760793
"St. Louis, MO-IL MSA",2803228,0.92996993523562,0.442889329602464,0.432709362206713,1510191,70.9538671285032
"Baltimore-Columbia-Towson, MD MSA",2800053,0.912420890731475,0.469642857142857,0.570573842709406,999779,81.3210204180614
"Charlotte-Concord-Gastonia, NC-SC MSA",2636883,0.93209101574136,0.493365170300367,0.39084252126469,1506547,72.0507063944278
"Orlando-Kissimmee-Sanford, FL MSA",2608147,0.963672643209062,0.498214285714286,0.485361062854203,1422249,74.4450736066337
"San Antonio-New Braunfels, TX MSA",2550960,0.855981571926038,0.548214285714286,0.451171323736946,779942,85.4765794725848
"Portland-Vancouver-Hillsboro, OR-WA MSA",2492412,0.89109373364053,0.0957380355139634,0.583672362354217,981064,64.0506670921079
"Sacramento-Roseville-Folsom, CA MSA",2363730,0.932988741101666,0.489285714285714,0.490363112538234,1122673,76.6008832567869
"Pittsburgh, PA MSA",2317600,0.926443510707031,0.435714285714286,0.503633500172592,1072216,74.6389982948188
"Las Vegas-Henderson-Paradise, NV MSA",2266715,0.911268289834195,0.0214285714285714,0.402606856177331,1377607,41.2622918393088
"Austin-Round Rock-Georgetown, TX MSA",2227083,0.963479533932794,0.548214285714286,0.509736278351548,1139281,78.4112864734851
"Cincinnati, OH-KY-IN MSA",2221208,0.969077208629738,0.604432426441571,0.470552059960166,1229883,79.6586734781773
"Kansas City, MO-KS MSA",2157990,0.928340392029147,0.386692628325432,0.424481577764494,1201582,66.8931941733985
"Columbus, OH MSA",2122271,0.961674366318331,0.655357142857143,0.48565616737919,1065158,83.8118709710409
"Indianapolis-Carmel-Anderson, IN MSA",2074537,0.926049190405979,0.632142857142857,0.478825877774173,848314,85.3808234730914
"Cleveland-Elyria, OH MSA",2048449,0.924471631901256,0.655357142857143,0.511695433960035,729076,88.0583106585083
"San Jose-Sunnyvale-Santa Clara, CA MSA",1990660,0.943368957789318,0.489285714285714,0.673010961188751,626846,84.6572689063752
"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",1934317,0.929713565244015,0.482142857142857,0.417995085603859,1049000,72.8136545634255
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",1768901,0.9027410666251,0.0886929461125459,0.416175919398542,1019511,47.6360949907381
"Providence-Warwick, RI-MA MSA",1624578,0.944457399006253,0.16668160461187,0.552981758955249,786412,61.5602662512854
"Milwaukee-Waukesha, WI MSA",1575179,0.955818571720455,0.189285714285714,0.506286587111687,857327,58.4518990077116
"Jacksonville, FL MSA",1559514,0.944184804956511,0.498214285714286,0.414979282007087,892884,72.6152221479559
"Oklahoma City, OK MSA",1408950,0.964568167283934,0.251785714285714,0.414184321657972,907801,55.0188670983308
"Raleigh-Cary, NC MSA",1390785,0.881318248583066,0.496428571428571,0.505524577846324,478041,82.3243513968638
"Memphis, TN-MS-AR MSA",1346045,0.942804141478011,0.47912373047388,0.352656857683064,856686,68.3540972858988
"Richmond, VA MSA",1291900,0.895314652176447,0.0767857142857143,0.479846737363573,652763,53.1083613708919
"New Orleans-Metairie, LA MSA",1270530,0.959066959235434,0.2375,0.452437171888897,761082,57.1373045366517
"Louisville/Jefferson County, KY-IN MSA",1265108,0.900136541595886,0.455751049091687,0.479177271821852,541540,76.7065408328912
"Salt Lake City, UT MSA",1232696,0.89372853795429,0.476785714285714,0.491725453802073,485319,79.2562493056106
"Hartford-East Hartford-Middletown, CT MSA",1204877,0.971417194613715,0.180357142857143,0.608562533769007,558824,64.7796525408478
"Buffalo-Niagara Falls, NY MSA",1127983,0.983031282116775,0.233928571428571,0.549124410562925,606151,62.3103508574668
"Birmingham-Hoover, AL MSA",1090435,0.971785214449967,0.185714285714286,0.331467717012018,808170,44.1077681960515
"Grand Rapids-Kentwood, MI MSA",1077370,0.968614276228312,0.435714285714286,0.461971281918004,632782,69.2050197361753
"Rochester, NY MSA",1069644,0.947983276331016,0.233928571428571,0.560480870270856,508279,65.4399850498809
"Tucson, AZ MSA",1047279,0.926354998151087,0.457142857142857,0.521023528591712,460125,76.8280052730022
"Fresno, CA MSA",999101,0.895437057148947,0.489285714285714,0.413460701170352,469741,75.8657425292311
"Tulsa, OK MSA",998626,0.915413534113004,0.251785714285714,0.388856288540455,595823,56.1100248470362
"Urban Honolulu, HI MSA",974563,0.968137872781927,0.0482142857142857,0.620033799764612,442337,59.8406160623368
"Omaha-Council Bluffs, NE-IA MSA",949442,0.995100469117105,0.42213586657065,0.487892888665132,582766,67.9205877928742
"Worcester, MA-CT MSA",947404,0.925621118375462,0.0989460598194042,0.545408294666267,449055,58.4736143870537
"Bridgeport-Stamford-Norwalk, CT MSA",943332,0.946547763633619,0.180357142857143,0.636429168097764,379429,68.6534084556253
"Greenville-Anderson, SC MSA",920477,0.972808063429161,0.476785714285714,0.363151931009683,635326,66.5898432597625
"Albuquerque, NM MSA",918018,0.873291079027682,0.578571428571429,0.520891747220643,235148,88.8750893740598
