Metropolitan_Statistical_Area,Detected_cumulative_newCases,Inferred_cumulative_newCases,Vaccinations_completed,vaccine_countdown,Progress_to_Herd_Immunity (% of Herd Immunity Threshold)
"New York City-Newark-Jersey City, NY-NJ-PA MSA",2319396,4141779,10478164,9611922,47.5495910785585
"Los Angeles-Long Beach-Anaheim, CA MSA",1529152,2730629,6899031,3403137,66.2610715914227
"Chicago-Naperville-Elgin, IL-IN-WI MSA",1030043,1839363,4757224,3539292,54.9374533966353
"Dallas-Fort Worth-Arlington, TX MSA",844300,1507679,3158027,3455149,44.9345817624901
"Houston-The Woodlands-Sugar Land, TX MSA",631456,1127600,3039981,2482397,53.2030721186358
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",416432,743629,2909320,2086303,55.679807197741
"Miami-Fort Lauderdale-West Palm Beach, FL MSA",751768,1342443,3232323,1950451,60.9243909539938
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",588602,1051075,2893466,2186736,54.7797959140512
"Atlanta-Sandy Springs-Alpharetta, GA MSA",616260,1100465,2368897,2616010,45.1202876716246
"Phoenix-Mesa-Chandler, AZ MSA",617094,1101954,1949314,2274963,43.9269195363181
"Boston-Cambridge-Newton, MA-NH MSA",465734,831668,2920548,747192,79.0659412467037
"San Francisco-Oakland-Berkeley, CA MSA",256918,458783,3045821,407352,87.5248547725921
"Riverside-San Bernardino-Ontario, CA MSA",603495,1077670,1812951,1730345,50.9493713039937
"Detroit–Warren–Dearborn, MI MSA",430934,769525,1955059,2207520,42.6387695583736
"Seattle-Tacoma-Bellevue, WA MSA",211057,376888,2193768,1736046,51.4906279457315
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",379146,677047,1973962,1397793,55.6184438863514
"San Diego-Chula Vista-Carlsbad, CA MSA",283440,506143,1861806,697077,71.6631564546274
"Tampa-St. Petersburg-Clearwater, FL MSA",285512,509843,1393328,1224723,50.8157220275657
"Denver-Aurora-Lakewood, CO MSA",290124,518079,1266419,1030931,53.659536890025
"St. Louis, MO-IL MSA",304982,544611,1144691,1304042,43.7986771230303
"Baltimore-Columbia-Towson, MD MSA",158692,283379,1504289,861122,60.8010149916711
"Charlotte-Concord-Gastonia, NC-SC MSA",286853,512238,1046595,1275819,41.9125309794344
"Orlando-Kissimmee-Sanford, FL MSA",259148,462765,1225176,1357929,42.8257071864091
"San Antonio-New Braunfels, TX MSA",276013,492881,1120284,469442,71.5004736380912
"Portland-Vancouver-Hillsboro, OR-WA MSA",120400,215000,1362054,595317,67.374015204639
"Sacramento-Roseville-Folsom, CA MSA",158189,282481,1131447,1003207,49.1808960174941
"Pittsburgh, PA MSA",207067,369763,1134731,885962,53.3270073534624
"Las Vegas-Henderson-Paradise, NV MSA",263144,469900,872897,952151,46.2649459779886
"Austin-Round Rock-Georgetown, TX MSA",169344,302400,1108081,1109214,45.2780758417034
"Cincinnati, OH-KY-IN MSA",225092,401950,1011257,1227531,40.1858132790465
"Kansas City, MO-KS MSA",163262,291540,485567,1423492,19.9193883356788
"Columbus, OH MSA",208753,372774,1009508,1078878,43.8721964321022
"Indianapolis-Carmel-Anderson, IN MSA",224074,400133,956321,829182,51.1423729461233
"Cleveland-Elyria, OH MSA",185831,331842,1020077,751337,54.9516998329306
"San Jose-Sunnyvale-Santa Clara, CA MSA",125895,224813,1309873,554605,67.6301172449701
"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",262550,468840,792227,866513,45.838355282005
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",137377,245317,711073,708411,47.356617022931
"Providence-Warwick, RI-MA MSA",207768,371015,881661,603792,56.9520726014774
"Milwaukee-Waukesha, WI MSA",193615,345742,661323,845159,39.8025725442677
"Jacksonville, FL MSA",158978,283890,630876,811047,39.7163340509452
"Oklahoma City, OK MSA",155994,278561,571445,823977,35.9342457003306
"Raleigh-Cary, NC MSA",120082,214433,726202,285708,70.9863187144671
"Memphis, TN-MS-AR MSA",128405,229295,451071,790894,31.6222500576274
"Richmond, VA MSA",94976,169600,602317,407601,57.5062492149007
"New Orleans-Metairie, LA MSA",124616,222529,566479,672886,41.1088960277399
"Louisville/Jefferson County, KY-IN MSA",134386,239975,590011,389504,59.1850238138849
"Salt Lake City, UT MSA",162506,290190,512859,388490,57.3291888319734
"Hartford-East Hartford-Middletown, CT MSA",107180,191393,690120,536723,52.0850475401818
"Buffalo-Niagara Falls, NY MSA",109833,196131,611452,578534,46.4765187050511
"Birmingham-Hoover, AL MSA",131795,235349,368877,735477,27.5213371836879
"Grand Rapids-Kentwood, MI MSA",124307,221977,499696,580973,41.5630332866518
"Rochester, NY MSA",91339,163106,593280,415770,55.4263650761152
"Tucson, AZ MSA",118106,210904,431595,468076,45.4168638582011
"Fresno, CA MSA",102639,183284,402075,358337,51.7135933101536
"Tulsa, OK MSA",113517,202709,380884,439012,44.4871281628958
"Urban Honolulu, HI MSA",28145,50259,591036,402323,55.2066603042776
"Omaha-Council Bluffs, NE-IA MSA",116998,208925,451054,587580,37.358110238466
"Worcester, MA-CT MSA",88471,157984,504459,317057,59.0395029948478
"Bridgeport-Stamford-Norwalk, CT MSA",100619,179677,544005,333891,59.2463441693618
"Greenville-Anderson, SC MSA",125696,224458,328326,603950,29.6836680312928
"Albuquerque, NM MSA",79924,142722,473093,170454,73.0238032507736
"Bakersfield, CA MSA",111273,198702,303917,538027,31.8256810124553
