Metropolitan Statistical Area,Population,Fraction of population that yields herd immunity,Fraction of population with natural immunity,Fraction of population that has been vaccinated,Vaccine Countdown,Progress to Herd Immunity
"New York City-Newark-Jersey City, NY-NJ-PA MSA",19216182,0.981163216611854,0.197724101470462,0.541372890827116,10446882,59.9922084001638
"Los Angeles-Long Beach-Anaheim, CA MSA",13214799,0.90377500362712,0.489285714285714,0.522587592894905,5010738,80.7158159568119
"Chicago-Naperville-Elgin, IL-IN-WI MSA",9458539,0.931048565851879,0.306507597828496,0.498488508637539,4749595,66.337655677749
"Dallas-Fort Worth-Arlington, TX MSA",7573136,0.930299729172344,0.548214285714286,0.415665188107014,3968526,77.0963053889898
"Houston-The Woodlands-Sugar Land, TX MSA",7066141,0.89866217578575,0.548214285714286,0.427770263854061,3067504,80.3581979922341
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",6280487,0.898178296762921,0.226780762156092,0.51848399654358,2803045,65.4204610433503
"Miami-Fort Lauderdale-West Palm Beach, FL MSA",6166488,0.922541688665468,0.498214285714286,0.520817522064423,2582381,79.4998435100193
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",6102434,0.915621830194407,0.364293323661627,0.469632281152078,3014601,69.1319103241986
"Atlanta-Sandy Springs-Alpharetta, GA MSA",6020364,0.915357942943991,0.2875,0.392758311623683,3530085,58.9229897971933
"Phoenix-Mesa-Chandler, AZ MSA",4948203,0.926797464692725,0.457142857142857,0.393685546045706,2808580,70.0785653311713
"Boston-Cambridge-Newton, MA-NH MSA",4873019,0.891241679282611,0.103638499416012,0.59702948008206,1848176,65.6698771628848
"San Francisco-Oakland-Berkeley, CA MSA",4731803,0.873182725643803,0.489285714285714,0.642832341075907,910280,89.8734005099641
"Riverside-San Bernardino-Ontario, CA MSA",4650631,0.901843934231585,0.489285714285714,0.389991379664394,2360527,74.1306162762376
"Detroit–Warren–Dearborn, MI MSA",4319629,0.955659396922071,0.435714285714286,0.454741136333699,2458132,69.7589352544912
"Seattle-Tacoma-Bellevue, WA MSA",3979845,0.959035432327784,0.121428571428571,0.546690386183382,2040124,57.7355591860117
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",3654908,0.943786773622395,0.248479787804704,0.538654598145836,1788516,64.9308340655517
"San Diego-Chula Vista-Carlsbad, CA MSA",3338330,0.893042889659138,0.489285714285714,0.550252371694829,1095516,83.1097022500732
"Tampa-St. Petersburg-Clearwater, FL MSA",3194831,0.910327597773548,0.498214285714286,0.43443424706972,1527494,76.2810988583778
"Denver-Aurora-Lakewood, CO MSA",2967239,0.898272516607858,0.2,0.42383441306885,1620079,56.2369178695579
"St. Louis, MO-IL MSA",2803228,0.92996993523562,0.442889329602464,0.406352604925464,1584075,69.5328246683222
"Baltimore-Columbia-Towson, MD MSA",2800053,0.912420890731475,0.469642857142857,0.534467383295959,1100879,79.4321567408974
"Charlotte-Concord-Gastonia, NC-SC MSA",2636883,0.93209101574136,0.493365170300367,0.392162640511543,1503066,72.1152855546885
"Orlando-Kissimmee-Sanford, FL MSA",2608147,0.963672643209062,0.498214285714286,0.467336005217497,1469261,73.6003630260738
"San Antonio-New Braunfels, TX MSA",2550960,0.855981571926038,0.548214285714286,0.437180904443817,815631,84.8120085749482
"Portland-Vancouver-Hillsboro, OR-WA MSA",2492412,0.89109373364053,0.0957380355139634,0.540054774250806,1089777,60.067073450499
"Sacramento-Roseville-Folsom, CA MSA",2363730,0.932988741101666,0.489285714285714,0.477609117792641,1152820,75.9725495667225
"Pittsburgh, PA MSA",2317600,0.926443510707031,0.435714285714286,0.485984639282016,1113119,73.6715242974317
"Las Vegas-Henderson-Paradise, NV MSA",2266715,0.911268289834195,0.0214285714285714,0.38056923786184,1427560,39.1324201549661
"Austin-Round Rock-Georgetown, TX MSA",2227083,0.963479533932794,0.548214285714286,0.495213694325717,1171624,77.798405121087
