Metropolitan_Statistical_Area,Detected_cumulative_newCases,Inferred_cumulative_newCases,Vaccinations_completed,Vaccinations_countdown
"New York City-Newark-Jersey City, NY-NJ-PA MSA",552976,560636.417833393,4981766,14405236
"Los Angeles-Long Beach-Anaheim, CA MSA",314970,311550.962989808,5735133,4482844
"Chicago-Naperville-Elgin, IL-IN-WI MSA",226928,226452.453275019,3918487,4185663
"Dallas-Fort Worth-Arlington, TX MSA",169568,168449.115503335,2639361,3871902
"Houston-The Woodlands-Sugar Land, TX MSA",191766,346537.190277603,2492971,2971142
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",117134,117158.592046873,2476021,3403911
"Miami-Fort Lauderdale-West Palm Beach, FL MSA",242953,241400.740161381,1876073,3298851
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",107018,106725.513448593,2293149,2666178
"Atlanta-Sandy Springs-Alpharetta, GA MSA",142451,140579.322223,1709841,3184729
"Phoenix-Mesa-Chandler, AZ MSA",150381,148284.971507267,1621777,2813457
"Boston-Cambridge-Newton, MA-NH MSA",91753,99491.190367661,2432960,2478093
"San Francisco-Oakland-Berkeley, CA MSA",63739,62590.4356926829,2611393,554300
"Riverside-San Bernardino-Ontario, CA MSA",110068,108500.849860576,1496751,2155179
"Detroit–Warren–Dearborn, MI MSA",72047,72171.3008231439,1698417,2367966
"Seattle-Tacoma-Bellevue, WA MSA",37702,37762.2447328672,1759203,2301810
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",62124,61616.0251192586,1642837,1458189
"San Diego-Chula Vista-Carlsbad, CA MSA",44988,44605.3130606428,1531657,1723789
"Tampa-St. Petersburg-Clearwater, FL MSA",74383,68282.6854906735,1105281,1501528
"Denver-Aurora-Lakewood, CO MSA",38934,39198.061947605,999552,1287150
"St. Louis, MO-IL MSA",59350,59541.0527333918,968565,1515166
"Baltimore-Columbia-Towson, MD MSA",37660,38587.5213526975,1022220,1263183
"Charlotte-Concord-Gastonia, NC-SC MSA",57256,57349.8277028969,908978,1479819
"Orlando-Kissimmee-Sanford, FL MSA",67367,67218.696862701,951858,1727766
"San Antonio-New Braunfels, TX MSA",63986,61775.6950509833,892773,1754675
"Portland-Vancouver-Hillsboro, OR-WA MSA",17567,17300.3343363906,1070403,751022
"Sacramento-Roseville-Folsom, CA MSA",28942,26935.803428764,925082,622294
"Pittsburgh, PA MSA",19177,19203.9060773882,973524,1145470
"Las Vegas-Henderson-Paradise, NV MSA",64288,63752.0349763317,733337,1116826
"Austin-Round Rock-Georgetown, TX MSA",46303,45501.1610156587,933992,1350425
"Cincinnati, OH-KY-IN MSA",29123,28767.434606586,873531,1012387
"Kansas City, MO-KS MSA",31301,31417.7045490014,431144,1344409
"Columbus, OH MSA",36797,36084.8034140559,871155,1241028
"Indianapolis-Carmel-Anderson, IN MSA",36619,37032.1781402198,816231,951644
"Cleveland-Elyria, OH MSA",23150,22935.7555233862,889057,807310
"San Jose-Sunnyvale-Santa Clara, CA MSA",21821,21844.1632381538,1098975,381297
"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",60413,59058.0343778612,645910,987846
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",27284,27142.165821611,568484,884194
"Providence-Warwick, RI-MA MSA",31185,31401.4339250512,738845,702747
"Milwaukee-Waukesha, WI MSA",39532,38507.5482819032,602545,893044
"Jacksonville, FL MSA",42835,39135.2053205618,510472,782983
"Oklahoma City, OK MSA",26847,26402.1944219833,485665,879127
"Raleigh-Cary, NC MSA",22697,22375.796748259,641516,340107
"Memphis, TN-MS-AR MSA",37767,37337.0418998345,323340,910163
"Richmond, VA MSA",19413,19409.0286696827,489567,775539
"New Orleans-Metairie, LA MSA",42631,41212.8243955404,480173,746265
"Louisville/Jefferson County, KY-IN MSA",23562,24090.1958662431,506381,480494
"Salt Lake City, UT MSA",29286,29242.3513667095,424080,561516
"Hartford-East Hartford-Middletown, CT MSA",17234,17599.5452229097,596033,583766
"Buffalo-Niagara Falls, NY MSA",12770,12887.7834998548,520283,430797
"Birmingham-Hoover, AL MSA",30783,29667.8114455261,322071,790029
