Metropolitan_Statistical_Area,Detected_cumulative_newCases,Inferred_cumulative_newCases,Vaccinations_completed,Vaccinations_countdown,Progress_to_Herd_Immunity (% of population)
"New York City-Newark-Jersey City, NY-NJ-PA MSA",2313145,35966706,9858761,9082860,50.4365806155934
"Los Angeles-Long Beach-Anaheim, CA MSA",1521966,11320767,6616896,2813165,72.1100935588208
"Chicago-Naperville-Elgin, IL-IN-WI MSA",1027170,31560807,4541300,3210274,59.1265366817516
"Dallas-Fort Worth-Arlington, TX MSA",839910,1764061,3025152,3283723,47.6666330826454
"Houston-The Woodlands-Sugar Land, TX MSA",627660,1876372,2878647,2350424,55.690962235844
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",415409,14584087,3145346,1468573,68.80249968284
"Miami-Fort Lauderdale-West Palm Beach, FL MSA",744245,2533417,3035810,1765806,64.6235947957205
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",587082,13774937,2770793,1993338,58.7791342108618
"Atlanta-Sandy Springs-Alpharetta, GA MSA",613282,1168118,2251559,2524019,47.0501119524185
"Phoenix-Mesa-Chandler, AZ MSA",611841,11711952,1908208,2138226,47.2972006368734
"Boston-Cambridge-Newton, MA-NH MSA",465057,11697951,2824277,402372,88.7267541827518
"San Francisco-Oakland-Berkeley, CA MSA",255034,1934984,2941143,89570,97.2569208988321
"Riverside-San Bernardino-Ontario, CA MSA",601224,1137801,1729345,1674802,52.5238660259493
"Detroit–Warren–Dearborn, MI MSA",430026,790033,1912134,2037618,47.0535824590464
"Seattle-Tacoma-Bellevue, WA MSA",208991,482401,2113211,1572233,56.0679638943906
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",378259,29548997,1913064,1218027,61.3262238053566
"San Diego-Chula Vista-Carlsbad, CA MSA",282000,6009417,1793721,522296,78.7681704655671
"Tampa-St. Petersburg-Clearwater, FL MSA",282495,626385,1327659,1151974,53.7372863635148
"Denver-Aurora-Lakewood, CO MSA",287954,14315477,1200911,976829,56.0914278072405
"St. Louis, MO-IL MSA",301508,1100709,1103761,1235987,46.7316969401774
"Baltimore-Columbia-Towson, MD MSA",158425,6524406,1423652,771865,64.864067387137
"Charlotte-Concord-Gastonia, NC-SC MSA",285245,548073,1006678,1218081,44.5413163214848
"Orlando-Kissimmee-Sanford, FL MSA",255561,676117,1159662,1294972,45.4764510416956
"San Antonio-New Braunfels, TX MSA",272950,963836,1060629,426588,74.1021128240039
"Portland-Vancouver-Hillsboro, OR-WA MSA",119306,219090,1294251,507309,72.1972399233521
"Sacramento-Roseville-Folsom, CA MSA",156201,35797388,1072123,942607,52.250688893082
"Pittsburgh, PA MSA",206693,405907,1104092,786720,58.5551335442332
"Las Vegas-Henderson-Paradise, NV MSA",257221,496150,827730,929460,47.5455223895173
"Austin-Round Rock-Georgetown, TX MSA",168153,338281,1062703,1033919,48.9926767027626
"Cincinnati, OH-KY-IN MSA",224077,448757,974340,1156537,43.645154323849
"Kansas City, MO-KS MSA",161031,435084,471310,1406791,20.8589273674442
"Columbus, OH MSA",208239,387851,975533,1002502,47.845599472392
"Indianapolis-Carmel-Anderson, IN MSA",223050,7256891,922047,760582,55.1844689104543
"Cleveland-Elyria, OH MSA",185292,5768733,986865,667228,59.9946665426122
"San Jose-Sunnyvale-Santa Clara, CA MSA",126330,248928,1260779,438346,74.4156496495049
"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",262151,471100,719595,875808,45.2573686290018
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",136829,270013,681334,670484,50.1750452886853
"Providence-Warwick, RI-MA MSA",207371,7360310,849448,524535,62.6027761249171
"Milwaukee-Waukesha, WI MSA",193180,10335487,659686,776118,44.7200976359619
"Jacksonville, FL MSA",155534,5923277,606346,774761,42.4134072201048
"Oklahoma City, OK MSA",155418,385513,550214,787546,38.7668241520243
"Raleigh-Cary, NC MSA",119477,218958,704094,216791,77.9848482381594
"Memphis, TN-MS-AR MSA",127566,391572,411379,794824,31.282476892989
"Richmond, VA MSA",94360,1195190,574425,371551,61.2645808083041
"New Orleans-Metairie, LA MSA",122964,968875,527392,655373,42.6416369435358
"Louisville/Jefferson County, KY-IN MSA",133991,3959464,566512,348943,63.4352914596216
"Salt Lake City, UT MSA",160746,383862,492284,365318,59.8743458151274
"Hartford-East Hartford-Middletown, CT MSA",106932,3845683,655071,494035,55.8959397333703
"Buffalo-Niagara Falls, NY MSA",109680,4151185,585087,537656,50.25837572361
"Birmingham-Hoover, AL MSA",131008,289851,356064,713614,29.67585867811
"Grand Rapids-Kentwood, MI MSA",123897,9752929,486460,539622,45.7223092092224
"Rochester, NY MSA",91135,5796309,572306,366397,60.7195177256497
"Tucson, AZ MSA",117420,547814,418769,439098,48.7960375802399
"Fresno, CA MSA",103020,269464,384310,340072,54.1748273389869
"Tulsa, OK MSA",112511,710689,365279,422958,46.5171493114587
"Urban Honolulu, HI MSA",27715,39623694,488835,449688,49.9331946195221
"Omaha-Council Bluffs, NE-IA MSA",116689,5580538,419826,572155,39.0025691199318
"Worcester, MA-CT MSA",88322,3130952,483171,277951,64.0915951924132
"Bridgeport-Stamford-Norwalk, CT MSA",100408,189489,514120,296992,63.7501167972396
"Greenville-Anderson, SC MSA",125535,1391091,315017,586425,31.7240583247799
"Albuquerque, NM MSA",79545,150889,467030,115066,81.7895558030525
"Bakersfield, CA MSA",110847,233996,291532,525493,33.4138855341426
"Albany-Schenectady-Troy, NY MSA",66276,5973633,512464,243349,67.9086538362168
"Knoxville, TN MSA",98145,184141,333140,357212,48.5209812465136
"McAllen-Edinburg-Mission, TX MSA",90703,169359,415907,492252,42.820651925305
"Baton Rouge, LA MSA",83110,163727,293724,583091,29.2273797413526
"New Haven-Milford, CT MSA",92314,172806,449590,342892,56.0503910525212
"Oxnard-Thousand Oaks-Ventura, CA MSA",81727,157244,439630,144980,76.8253468506728
"El Paso, TX MSA",137047,248069,432638,120265,81.2634555435446
"Allentown-Bethlehem-Easton, PA-NJ MSA",92123,172688,408710,255991,62.4905690634267
"Columbia, SC MSA",94350,310094,310440,328949,49.2315552926457
"North Port-Sarasota-Bradenton, FL MSA",71855,128679,400872,157337,73.377823298161
"Dayton-Kettering, OH MSA",78750,147795,329701,472898,38.0964755764506
"Charleston-North Charleston, SC MSA",80218,1190495,315056,343063,47.4779904912334
"Greensboro-High Point, NC MSA",72017,2609912,318222,482273,36.1546095520266
"Cape Coral-Fort Myers, FL MSA",72247,188272,336238,232785,60.0809269294221
"Stockton, CA MSA",74808,259968,283035,362024,42.7893507209855
"Boise City, ID MSA",84365,261603,297866,318293,48.2574798356745
"Colorado Springs, CO MSA",74900,493824,264625,369061,40.471647000269
"Little Rock-North Little Rock-Conway, AR MSA",76527,141957,260859,336550,43.1640093279099
"Lakeland-Winter Haven, FL MSA",71561,141047,256280,287194,47.4805849976874
"Akron, OH MSA",61721,5314407,325958,265615,54.8004362040785
"Des Moines-West Des Moines, IA MSA",82518,3296704,333322,378927,44.2736688703963
"Springfield, MA MSA",64176,2168999,340066,267625,55.5325009254052
"Ogden-Clearfield, UT MSA",76977,140468,242227,256745,49.6577050691777
"Poughkeepsie-Newburgh-Middletown, NY MSA",77881,143308,314859,358114,44.5763243047978
"Winston-Salem, NC MSA",66497,1592510,270832,226877,55.3397481093812
"Deltona-Daytona Beach-Ormond Beach, FL MSA",52248,169765,280479,197699,59.3787921960358
"Madison, WI MSA",58465,11350553,356424,89779,81.3106074743151
"Syracuse, NY MSA",51208,2608050,354989,253683,57.341996360103
"Provo-Orem, UT MSA",99674,189460,201081,283739,43.1611791604722
"Durham-Chapel Hill, NC MSA",48711,208659,335329,206024,61.8639987169618
"Toledo, OH MSA",61007,5395987,282140,290873,48.1074219853769
"Wichita, KS MSA",71431,153776,214532,304216,40.7925193218063
"Augusta-Richmond County, GA-SC MSA",69021,140892,188757,389580,29.2715342476496
"Palm Bay-Melbourne-Titusville, FL MSA",42844,150758,265330,272764,47.7879018861776
"Jackson, MS MSA",51039,2555199,211355,310240,38.4987579143984
"Harrisburg-Carlisle, PA MSA",50575,93597,255541,147072,64.791384356288
"Spokane-Spokane Valley, WA MSA",50510,16514995,214799,182821,55.0091946540769
"Chattanooga, TN-GA MSA",66497,185459,189989,267686,41.1298279357214
"Scranton–Wilkes-Barre, PA MSA",52626,1206316,269912,170679,61.8749058749126
"Modesto, CA MSA",63586,115500,198213,177540,54.7964981484643
"Lansing-East Lansing, MI MSA",42691,78472,249246,175677,58.9186344364673
"Lancaster, PA MSA",55380,98946,245615,217685,52.7550561604643
"Portland-South Portland, ME MSA",32205,754549,341413,202672,61.4850351706568
"Youngstown-Warren-Boardman, OH-PA MSA",48671,91274,215769,225021,48.4116483653842
"Fayetteville-Springdale-Rogers, AR MSA",62744,2438225,175668,330312,31.7211999967478
"Fayetteville, NC MSA",47094,84665,132511,299765,28.1419943513367
"Lexington-Fayette, KY MSA",53719,97366,257741,77095,78.9628810864966
"Pensacola-Ferry Pass-Brent, FL MSA",51566,319767,169287,221524,43.1088909445077
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",48937,220467,211203,192374,52.3378280626684
"Santa Rosa-Petaluma, CA MSA",30974,79485,285093,26142,92.2222307836436
"Port St. Lucie, FL MSA",53308,288947,202017,258668,41.8627917057311
"Lafayette, LA MSA",49940,104606,140612,279084,31.2166244079251
"Reno, NV MSA",46327,92434,219764,108593,68.6264970144098
"Huntsville, AL MSA",45924,122342,163924,239798,39.0564706057005
"Springfield, MO MSA",50283,89884,144781,229738,37.8900503367577
"Visalia, CA MSA",49823,95158,153062,160287,50.5576877272357
"Asheville, NC MSA",34486,2192868,217318,239607,45.1876670527587
"Killeen-Temple, TX MSA",34527,93972,112061,267671,26.3844145167502
"York-Hanover, PA MSA",46976,85815,186242,136924,59.0565646717245
"Vallejo, CA MSA",33802,3072400,199986,270359,39.0946688608945
"Santa Maria-Santa Barbara, CA MSA",34631,921049,222772,203062,50.6974391934375
"Salinas, CA MSA",43858,89757,207519,197346,49.9887377834447
"Salem, OR MSA",27517,49500,189972,143603,56.765911796623
"Mobile, AL MSA",42180,76389,116360,204485,35.6539546400904
"Corpus Christi, TX MSA",45801,96490,171855,280752,33.9921359169583
"Brownsville-Harlingen, TX MSA",42019,77505,211437,90367,71.6402138224759
"Reading, PA MSA",48435,98561,173072,121474,60.7502295940493
"Gulfport-Biloxi, MS MSA",24252,56512,72064,362445,9.3038723988756
"Manchester-Nashua, NH MSA",36377,1447233,202917,102174,67.6282553746298
"Salisbury, MD-DE MSA",40237,1518753,191558,232433,42.3866027445831
"Fort Wayne, IN MSA",45872,1148016,159736,237096,37.6694916822053
"Flint, MI MSA",41738,76241,154603,254937,34.2373430936484
"Peoria, IL MSA",47385,88195,157185,152031,51.6989823206553
"Canton-Massillon, OH MSA",35347,2103467,158525,112246,59.9052738057208
"Anchorage, AK MSA",42634,32169573,154163,189930,43.7474227091833
"Shreveport-Bossier City, LA MSA",44490,84260,116567,222767,32.3877590180555
"Savannah, GA MSA",32188,58697,141921,252158,32.2151550533953
"Beaumont-Port Arthur, TX MSA",35201,76226,106550,314408,19.3600974502892
"Tallahassee, FL MSA",43079,78755,150372,109712,59.9930584555755
"Naples-Marco Island, FL MSA",36153,908431,194963,110610,64.5158562407149
"Eugene-Springfield, OR MSA",13944,39971,196103,163481,52.77123473183
"Davenport-Moline-Rock Island, IA-IL MSA",42140,86281,148467,214043,38.5037223646692
"Montgomery, AL MSA",44070,398371,100384,250977,24.8249856474646
"Hickory-Lenoir-Morganton, NC MSA",43891,98555,133307,220880,34.859343001768
