Metropolitan_Statistical_Area,Detected_cumulative_newCases,Inferred_cumulative_newCases,Vaccinations_completed,Vaccinations_countdown,Progress_to_Herd_Immunity (% of population)
"New York City-Newark-Jersey City, NY-NJ-PA MSA",2313145,35966706,10271474,8604071,53.0492400646701
"Los Angeles-Long Beach-Anaheim, CA MSA",1521966,11320767,6790522,2583337,74.3886237614798
"Chicago-Naperville-Elgin, IL-IN-WI MSA",1027170,31560807,4691156,3024908,61.4866313034102
"Dallas-Fort Worth-Arlington, TX MSA",839910,1764061,3102696,3190583,49.1510243649437
"Houston-The Woodlands-Sugar Land, TX MSA",627660,1876372,2985260,2221311,58.124937039047
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",415409,14584087,3235831,1358846,71.1334754785961
"Miami-Fort Lauderdale-West Palm Beach, FL MSA",744245,2533417,3161353,1603705,67.8711489777875
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",587082,13774937,2844870,1902679,60.6539002924684
"Atlanta-Sandy Springs-Alpharetta, GA MSA",613282,1168118,2328717,2431503,48.9909498948468
"Phoenix-Mesa-Chandler, AZ MSA",611841,11711952,1946994,2091081,48.459226295515
"Boston-Cambridge-Newton, MA-NH MSA",465057,11697951,2883696,319768,91.0410682937932
"San Francisco-Oakland-Berkeley, CA MSA",255034,1934984,3013468,0,100
"Riverside-San Bernardino-Ontario, CA MSA",601224,1137801,1783012,1607515,54.4312715740152
"Detroit–Warren–Dearborn, MI MSA",430026,790033,1948041,1995616,48.1449820391224
"Seattle-Tacoma-Bellevue, WA MSA",208991,482401,2163742,1514321,57.6861668420123
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",378259,29548997,1952737,1169278,62.8740613456679
"San Diego-Chula Vista-Carlsbad, CA MSA",282000,6009417,1836629,466952,81.0179567433744
"Tampa-St. Petersburg-Clearwater, FL MSA",282495,626385,1371359,1099459,55.8462631343621
"Denver-Aurora-Lakewood, CO MSA",287954,14315477,1242475,925998,58.3762869106559
"St. Louis, MO-IL MSA",301508,1100709,1132735,1201345,48.224690438166
"Baltimore-Columbia-Towson, MD MSA",158425,6524406,1485341,698670,68.1959642701393
"Charlotte-Concord-Gastonia, NC-SC MSA",285245,548073,1029559,1190862,45.7805852297475
"Orlando-Kissimmee-Sanford, FL MSA",255561,676117,1202283,1245560,47.5568957162737
"San Antonio-New Braunfels, TX MSA",272950,963836,1101677,373123,77.3479390963431
"Portland-Vancouver-Hillsboro, OR-WA MSA",119306,219090,1339441,453511,75.1456064743171
"Sacramento-Roseville-Folsom, CA MSA",156201,35797388,1110395,898004,54.510127368822
"Pittsburgh, PA MSA",206693,405907,1123541,763225,59.7928637880026
"Las Vegas-Henderson-Paradise, NV MSA",257221,496150,858573,891983,49.6605531142478
"Austin-Round Rock-Georgetown, TX MSA",168153,338281,1091762,1000503,50.6412204622839
"Cincinnati, OH-KY-IN MSA",224077,448757,998469,1128733,44.9999662573882
"Kansas City, MO-KS MSA",161031,435084,480141,1396719,21.4255423682191
"Columbus, OH MSA",208239,387851,995979,978685,49.0846606985701
"Indianapolis-Carmel-Anderson, IN MSA",223050,7256891,945549,731858,56.8769640194841
"Cleveland-Elyria, OH MSA",185292,5768733,1007682,641922,61.5119514414363
"San Jose-Sunnyvale-Santa Clara, CA MSA",126330,248928,1294846,396635,76.8501393847129
"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",262151,471100,736329,855386,46.5338516228298
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",136829,270013,698913,649677,51.7212534497724
"Providence-Warwick, RI-MA MSA",207371,7360310,870530,497637,64.5204947286175
"Milwaukee-Waukesha, WI MSA",193180,10335487,661323,774183,44.8579202493717
"Jacksonville, FL MSA",155534,5923277,621980,756462,43.7735390043315
"Oklahoma City, OK MSA",155418,385513,564334,771239,40.0347239300093
"Raleigh-Cary, NC MSA",119477,218958,715732,201870,79.5000775578194
"Memphis, TN-MS-AR MSA",127566,391572,420957,783782,32.2371270924641
"Richmond, VA MSA",94360,1195190,589369,353572,63.138950953042
"New Orleans-Metairie, LA MSA",122964,968875,541015,639603,44.0218301852476
"Louisville/Jefferson County, KY-IN MSA",133991,3959464,582054,329354,65.4879650355279
"Salt Lake City, UT MSA",160746,383862,505097,348837,61.6845793831993
"Hartford-East Hartford-Middletown, CT MSA",106932,3845683,667428,479653,57.1798661652116
"Buffalo-Niagara Falls, NY MSA",109680,4151185,601088,519369,51.9502104341728
"Birmingham-Hoover, AL MSA",131008,289851,362322,706469,30.3799732130615
"Grand Rapids-Kentwood, MI MSA",123897,9752929,497605,526639,47.0281997391428
"Rochester, NY MSA",91135,5796309,587039,348743,62.6121577692946
"Tucson, AZ MSA",117420,547814,427095,429045,49.968334958515
"Fresno, CA MSA",103020,269464,396085,325635,56.1202330698529
"Tulsa, OK MSA",112511,710689,376075,409907,48.1674424477421
"Urban Honolulu, HI MSA",27715,39623694,498164,439216,51.099113180712
"Omaha-Council Bluffs, NE-IA MSA",116689,5580538,446750,541988,42.2186722691816
"Worcester, MA-CT MSA",88322,3130952,495376,262871,66.0397757871885
"Bridgeport-Stamford-Norwalk, CT MSA",100408,189489,524738,283789,65.3616322856232
"Greenville-Anderson, SC MSA",125535,1391091,323850,576275,32.9057964976128
"Albuquerque, NM MSA",79545,150889,475827,103640,83.5978443973751
"Bakersfield, CA MSA",110847,233996,299057,516711,34.5266677353121
"Albany-Schenectady-Troy, NY MSA",66276,5973633,521365,232553,69.3323628844734
"Knoxville, TN MSA",98145,184141,339464,349546,49.6257542042088
"McAllen-Edinburg-Mission, TX MSA",90703,169359,427467,479336,44.3209575812145
"Baton Rouge, LA MSA",83110,163727,299397,576716,30.0011448211582
"New Haven-Milford, CT MSA",92314,172806,458021,332847,57.3378921370534
"Oxnard-Thousand Oaks-Ventura, CA MSA",81727,157244,448946,132808,78.7710074806466
"El Paso, TX MSA",137047,248069,449812,93691,85.4035206696066
"Allentown-Bethlehem-Easton, PA-NJ MSA",92123,172688,418062,244250,64.2109351256176
"Columbia, SC MSA",94350,310094,323780,312665,51.7447514221811
"North Port-Sarasota-Bradenton, FL MSA",71855,128679,413098,141880,75.9932219982781
"Dayton-Kettering, OH MSA",78750,147795,336174,465548,39.0586088578624
"Charleston-North Charleston, SC MSA",80218,1190495,325091,331088,49.3113303263875
"Greensboro-High Point, NC MSA",72017,2609912,323020,476898,36.8661753532592
"Cape Coral-Fort Myers, FL MSA",72247,188272,345319,221626,61.9945250409609
"Stockton, CA MSA",74808,259968,294930,348002,45.0052472477084
"Boise City, ID MSA",84365,261603,306198,308240,49.891721101464
"Colorado Springs, CO MSA",74900,493824,278407,352843,43.0875582695433
"Little Rock-North Little Rock-Conway, AR MSA",76527,141957,265417,331126,44.0800052078844
"Lakeland-Winter Haven, FL MSA",71561,141047,266277,275165,49.6803386243747
"Akron, OH MSA",61721,5314407,333721,256356,56.3760353275709
"Des Moines-West Des Moines, IA MSA",82518,3296704,341408,369759,45.6219470448103
"Springfield, MA MSA",64176,2168999,348602,257444,57.2241351452219
"Ogden-Clearfield, UT MSA",76977,140468,247944,249743,51.030650011068
"Poughkeepsie-Newburgh-Middletown, NY MSA",77881,143308,321839,350109,45.8152217618648
"Winston-Salem, NC MSA",66497,1592510,274800,222034,56.2930822944519
"Deltona-Daytona Beach-Ormond Beach, FL MSA",52248,169765,289178,187198,61.5364323618911
"Madison, WI MSA",58465,11350553,357287,88654,81.5447999535295
"Syracuse, NY MSA",51208,2608050,363401,243881,58.9902493044402
"Provo-Orem, UT MSA",99674,189460,205644,278037,44.3034083091863
"Durham-Chapel Hill, NC MSA",48711,208659,339626,200886,62.8150664303945
"Toledo, OH MSA",61007,5395987,286964,285210,49.1177174383644
"Wichita, KS MSA",71431,153776,219384,298431,41.9184143297065
"Augusta-Richmond County, GA-SC MSA",69021,140892,195222,382159,30.6188209265042
"Palm Bay-Melbourne-Titusville, FL MSA",42844,150758,272428,264558,49.3586827704659
"Jackson, MS MSA",51039,2555199,215290,305684,39.4019285530717
"Harrisburg-Carlisle, PA MSA",50575,93597,260308,141184,66.2009546953748
"Spokane-Spokane Valley, WA MSA",50510,16514995,221600,174575,57.0384701797686
"Chattanooga, TN-GA MSA",66497,185459,194271,262556,42.2580303172047
"Scranton–Wilkes-Barre, PA MSA",52626,1206316,274992,164432,63.2703175131306
"Modesto, CA MSA",63586,115500,205894,167951,57.2379557312872
"Lansing-East Lansing, MI MSA",42691,78472,252940,171246,59.9548061084108
"Lancaster, PA MSA",55380,98946,250733,211542,54.0882931313455
"Portland-South Portland, ME MSA",32205,754549,347412,195905,62.7710084032699
"Youngstown-Warren-Boardman, OH-PA MSA",48671,91274,221516,218205,49.9742856514221
"Fayetteville-Springdale-Rogers, AR MSA",62744,2438225,180770,324433,32.9364482021388
"Fayetteville, NC MSA",47094,84665,135364,296458,28.9347300765886
"Lexington-Fayette, KY MSA",53719,97366,264182,68524,81.3016727877436
"Pensacola-Ferry Pass-Brent, FL MSA",51566,319767,173860,216063,44.5113680871742
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",48937,220467,216277,186267,53.8508853574239
"Santa Rosa-Petaluma, CA MSA",30974,79485,290744,18863,94.3878792468774
"Port St. Lucie, FL MSA",53308,288947,208349,251320,43.5142994552258
"Lafayette, LA MSA",49940,104606,143922,275232,32.1659929234282
